message,severity,attributes,tags,timestamp
Mounting volume on: /var/lib/containers/railwayapp/bind-mounts/e017313b-46e6-4ac8-83e1-1740ee17bb81/vol_du7q425lje6gb5e5,info,"{""level"":""info""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""471efb8d-e188-4704-9194-380af0552af9"",""replica"":""e017313b-46e6-4ac8-83e1-1740ee17bb81""}",2026-09-13T02:23:44.813449625Z
Mounting volume on: /var/lib/containers/railwayapp/bind-mounts/e017313b-46e6-4ac8-83e1-1740ee17bb81/vol_du7q425lje6gb5e5,info,"{""level"":""info""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""471efb8d-e188-4704-9194-380af0552af9"",""replica"":""e017313b-46e6-4ac8-83e1-1740ee17bb81""}",2026-09-13T02:24:16.514610899Z
> SERVE_WEB=true node --enable-source-maps artifacts/api-server/dist/index.mjs,info,"{""level"":""info""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""471efb8d-e188-4704-9194-380af0552af9"",""replica"":""e017313b-46e6-4ac8-83e1-1740ee17bb81""}",2026-09-13T02:24:26.829163490Z
,info,"{""level"":""info""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""471efb8d-e188-4704-9194-380af0552af9"",""replica"":""e017313b-46e6-4ac8-83e1-1740ee17bb81""}",2026-09-13T02:24:26.829175804Z
npm warn config production Use `--omit=dev` instead.,error,"{""level"":""error""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""471efb8d-e188-4704-9194-380af0552af9"",""replica"":""e017313b-46e6-4ac8-83e1-1740ee17bb81""}",2026-09-13T02:24:26.829296172Z
,info,"{""level"":""info""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""471efb8d-e188-4704-9194-380af0552af9"",""replica"":""e017313b-46e6-4ac8-83e1-1740ee17bb81""}",2026-09-13T02:24:26.829301293Z
> workspace@0.0.0 start,info,"{""level"":""info""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""471efb8d-e188-4704-9194-380af0552af9"",""replica"":""e017313b-46e6-4ac8-83e1-1740ee17bb81""}",2026-09-13T02:24:26.829306754Z
Starting Container,info,"{""level"":""info""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""471efb8d-e188-4704-9194-380af0552af9"",""replica"":""e017313b-46e6-4ac8-83e1-1740ee17bb81""}",2026-09-13T02:24:27.060439961Z
Server listening,info,"{""level"":""info"",""time"":1789266268682,""pid"":15,""hostname"":""13bb8cc74c6e"",""port"":8080}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""471efb8d-e188-4704-9194-380af0552af9"",""replica"":""e017313b-46e6-4ac8-83e1-1740ee17bb81""}",2026-09-13T02:24:28.787845919Z
"[TRACKING] Moniteur indisponible, nouvelle tentative au prochain intervalle: Failed query: select ""id"", ""user_id"", ""started_at"", ""ended_at"", ""is_active"", ""is_panic_mode"", ""share_token"", ""protection_status"", ""destination_label"", ""destination_place_id"", ""destination_latitude"", ""destination_longitude"", ""shared_contact_ids"", ""arrival_confirmed_at"" from ""tracking_sessions"" where ""tracking_sessions"".""is_active"" = $1",error,"{""level"":""error""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""471efb8d-e188-4704-9194-380af0552af9"",""replica"":""e017313b-46e6-4ac8-83e1-1740ee17bb81""}",2026-09-13T02:24:28.787864813Z
✅ Master key chargée depuis environnement (fallback local),info,"{""level"":""info""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""471efb8d-e188-4704-9194-380af0552af9"",""replica"":""e017313b-46e6-4ac8-83e1-1740ee17bb81""}",2026-09-13T02:24:28.787877370Z
params: true,error,"{""level"":""error""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""471efb8d-e188-4704-9194-380af0552af9"",""replica"":""e017313b-46e6-4ac8-83e1-1740ee17bb81""}",2026-09-13T02:24:28.788324918Z
Error updating online status: ReferenceError: crypto is not defined,error,"{""level"":""error""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""471efb8d-e188-4704-9194-380af0552af9"",""replica"":""e017313b-46e6-4ac8-83e1-1740ee17bb81""}",2026-09-13T02:24:29.875711042Z
    at DbStorage.userConnected (/app/artifacts/api-server/src/storage.ts:2358:25),error,"{""level"":""error""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""471efb8d-e188-4704-9194-380af0552af9"",""replica"":""e017313b-46e6-4ac8-83e1-1740ee17bb81""}",2026-09-13T02:24:29.875719706Z
    at process.processTicksAndRejections (node:internal/process/task_queues:95:5),error,"{""level"":""error""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""471efb8d-e188-4704-9194-380af0552af9"",""replica"":""e017313b-46e6-4ac8-83e1-1740ee17bb81""}",2026-09-13T02:24:29.875725516Z
    at <anonymous> (/app/artifacts/api-server/src/routes/routes.ts:4553:7),error,"{""level"":""error""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""471efb8d-e188-4704-9194-380af0552af9"",""replica"":""e017313b-46e6-4ac8-83e1-1740ee17bb81""}",2026-09-13T02:24:29.875730764Z
